time,knee_angle_r,Torque,path_actuator,,Moment arm,,,,Moment arm
0.65617321,-4.8615339,-7.839325313,122.2579568,,-0.0522891,,1.27515,-0.0522891,-0.064121187
0.65706498,-5.06323057,-7.100954193,110.7057815,,-0.05571205,,1.2878,-0.05571205,-0.064142578
0.6580835,-5.29402991,-6.257038777,97.51177281,,-0.06003061,,1.30045,-0.06003061,-0.064167009
0.65910202,-5.52516646,-5.412478674,84.3177641,,-0.06526683,,1.3131,-0.06526683,-0.06419144
0.66,-5.72911223,-4.66733311,72.6851978,,-0.07115998,,1.32575,-0.07115998,-0.064212979
0.6600098,-5.73133891,-4.6586948,72.5504063,,-0.07738665,,1.3384,-0.07738665,-0.064213214
0.6600196,-5.73356559,-4.650056428,72.41561481,,-0.08373735,,1.35105,-0.08373735,-0.06421345
0.66006862,-5.74469906,-4.60686365,71.74165733,,-0.09040415,,1.3637,-0.09040415,-0.064214625
0.66031367,-5.80036754,-4.390875901,68.37186992,,-0.09728122,,1.37635,-0.09728122,-0.064220503
0.66138467,-6.0436374,-3.446450137,53.6444257,,-0.10430151,,1.389,-0.10430151,-0.064246193
0.66245568,-6.28676033,-2.501267692,38.91698149,,-0.11131123,,1.40165,-0.11131123,-0.064271883
0.6638745,-6.60846978,-1.24796147,19.4066354,,-0.11794688,,1.4143,-0.11794688,-0.064305916
0.665,-6.86333096,-0.252815284,3.92979691,,-0.12398505,,1.42695,-0.12398505,-0.064332913
0.66501669,-6.8671081,-0.239568889,3.72386988,,-0.12929018,,1.4396,-0.12929018,-0.064333314
0.66503338,-6.87088517,-0.226322329,3.51794285,,-0.13379016,,1.45225,-0.13379016,-0.064333714
0.66511683,-6.88976959,-0.160087057,2.4883077,,-0.13749088,,1.4649,-0.13749088,-0.064335716
0.66553409,-6.9841677,0.171151137,-2.65986805,,-0.14045829,,1.47755,-0.14045829,-0.064345724
0.66692186,-7.29783384,1.273578947,-19.78251755,,-0.14273042,,1.4902,-0.14273042,-0.064379013
0.6679536,-7.53068602,2.093912416,-32.51226935,,-0.14435248,,1.50285,-0.14435248,-0.064403761
0.66898533,-7.76316541,2.914875949,-45.24202114,,-0.14537825,,1.5155,-0.14537825,-0.064428509
0.67,-7.99133141,3.722875486,-57.7612261,,-0.14585586,,1.52815,-0.14585586,-0.064452847
0.67002301,-7.9965002,3.737202156,-57.98301099,,-0.1458313,,1.5408,-0.1458313,-0.064453399
0.67004603,-8.00166868,3.751529086,-58.20479589,,-0.14533485,,1.55345,-0.14533485,-0.064453951
0.6701611,-8.0275065,3.823167366,-59.31372037,,-0.14438862,,1.5661,-0.14438862,-0.064456712
0.67073646,-8.15657899,4.181450605,-64.85834276,,-0.14299164,,1.57875,-0.14299164,-0.064470513
0.6720771,-8.45652538,5.016882555,-77.77790493,,-0.14112648,,1.5914,-0.14112648,-0.06450267
