-1.5,0.125,1.1
-1.5,-0.075,1.1
-2.5,-0.075,1.1
-2.5,0.125,1.1
-1.5,0.125,1.1
-1.5,0.125,1.11
-1.5,-0.075,1.11
-2.5,-0.075,1.11
-2.5,0.125,1.11
-1.5,0.125,1.11
-1.5,0.125,1.12
-1.5,-0.075,1.12
-2.5,-0.075,1.12
-2.5,0.125,1.12
-1.5,0.125,1.12
-1.5,0.125,1.13
-1.5,-0.075,1.13
-2.5,-0.075,1.13
-2.5,0.125,1.13
-1.5,0.125,1.13
-1.5,0.125,1.14
-1.5,-0.075,1.14
-2.5,-0.075,1.14
-2.5,0.125,1.14
-1.5,0.125,1.14
-1.5,0.125,1.15
-1.5,-0.075,1.15
-2.5,-0.075,1.15
-2.5,0.125,1.15
-1.5,0.125,1.15
-1.5,0.125,1.16
-1.5,-0.075,1.16
-2.5,-0.075,1.16
-2.5,0.125,1.16
-1.5,0.125,1.16
-1.5,0.125,1.17
-1.5,-0.075,1.17
-2.5,-0.075,1.17
-2.5,0.125,1.17
-1.5,0.125,1.17
-1.5,0.125,1.18
-1.5,-0.075,1.18
-2.5,-0.075,1.18
-2.5,0.125,1.18
-1.5,0.125,1.18
-1.5,0.125,1.19
-1.5,-0.075,1.19
-2.5,-0.075,1.19
-2.5,0.125,1.19
-1.5,0.125,1.19
-1.5,0.125,1.2
-1.5,-0.075,1.2
-2.5,-0.075,1.2
-2.5,0.125,1.2
-1.5,0.125,1.2
-1.5,0.125,1.21
-1.5,-0.075,1.21
-2.5,-0.075,1.21
-2.5,0.125,1.21
-1.5,0.125,1.21
-1.5,0.125,1.22
-1.5,-0.075,1.22
-2.5,-0.075,1.22
-2.5,0.125,1.22
-1.5,0.125,1.22
-1.5,0.125,1.23
-1.5,-0.075,1.23
-2.5,-0.075,1.23
-2.5,0.125,1.23
-1.5,0.125,1.23
-1.5,0.125,1.24
-1.5,-0.075,1.24
-2.5,-0.075,1.24
-2.5,0.125,1.24
-1.5,0.125,1.24
-1.5,0.125,1.25
-1.5,-0.075,1.25
-2.5,-0.075,1.25
-2.5,0.125,1.25
-1.5,0.125,1.25
-1.5,0.125,1.26
-1.5,-0.075,1.26
-2.5,-0.075,1.26
-2.5,0.125,1.26
-1.5,0.125,1.26
-1.5,0.125,1.27
-1.5,-0.075,1.27
-2.5,-0.075,1.27
-2.5,0.125,1.27
-1.5,0.125,1.27
-1.5,0.125,1.28
-1.5,-0.075,1.28
-2.5,-0.075,1.28
-2.5,0.125,1.28
-1.5,0.125,1.28
